User_id,Name,Age,Gender,Marital Status,Occupation
75722,Daisy Sheppard,22,Male,Single,Student
80185,Ricky Terry,23,Male,Single,Student
19865,Victoria Ward,26,Male,Single,Student
76700,Marie Brown,23,Female,Prefer not to say,Employee
92992,Christopher Taylor,28,Female,Married,Employee
76435,Michael Bailey,23,Male,Single,Student
84005,Justin Burke,19,Male,Single,Student
80918,Joshua Novak,23,Male,Single,Student
60768,Karen Blackburn,23,Female,Single,Student
50075,Jacqueline Smith,22,Female,Single,Student
27702,Benjamin Obrien,21,Male,Single,Student
42142,Bradley Rodgers,24,Male,Single,Student
45081,Sean Phillips,25,Female,Single,Student
16639,Gina Stephens,22,Male,Married,Self Employeed
20425,Rodney Mendoza,31,Male,Prefer not to say,Employee
88703,Pamela Brown,27,Male,Married,Employee
150,Steven Ortiz,22,Male,Single,Student
1762,Deborah Le,29,Female,Married,Employee
63121,Donald Salazar,25,Male,Married,Self Employeed
69162,Kimberly Jones,23,Female,Single,Student
64884,Alicia Wiley,25,Male,Single,Student
2496,Mackenzie Black,24,Female,Single,Student
80297,Brittany Moore,23,Female,Single,Student
19448,James Miller,23,Male,Single,Student
41332,Victoria Wolfe,26,Male,Married,Employee
14889,Debra Bennett,24,Male,Single,Student
88637,Kenneth Wallace,27,Male,Prefer not to say,Employee
94893,Martha Stevenson,21,Female,Single,Student
92732,Joanne Mckee,23,Male,Single,Student
29131,Jared Oliver,22,Female,Single,Employee
79023,Adrian Owen,23,Male,Single,Student
84937,Jessica Booker,29,Female,Married,Employee
16822,Nicholas Diaz,33,Male,Married,Employee
36734,Jeff Miller DDS,24,Female,Married,Employee
15603,Benjamin Ryan,23,Male,Single,Student
28534,Johnathan Bennett,29,Female,Married,Employee
69770,Eugene Nelson,29,Male,Single,Self Employeed
11406,Jacqueline Lopez,21,Male,Single,Student
96853,Carolyn Turner,32,Male,Married,Employee
16131,Brandi Schmidt,26,Male,Married,Employee
19793,Dr. Christina Smith,22,Male,Single,Student
89578,Holly Jones,27,Male,Married,Self Employeed
40164,Anthony Holland,23,Female,Single,Student
31777,Jessica Campbell,20,Male,Single,Student
25331,Matthew Moore,21,Male,Single,Student
79157,William Huerta,22,Male,Single,Student
51686,Stacy Martin,23,Female,Single,Student
75499,Jerry Hinton,21,Female,Single,Student
4728,Brittany Robinson,24,Female,Single,Student
85199,Andre Fitzgerald,21,Female,Single,Student
35796,Julie Le,32,Female,Married,House wife
12257,Amber Salazar,26,Female,Married,Self Employeed
35719,Justin Robinson,22,Female,Single,Student
70552,Rebecca Scott,22,Male,Single,Student
54375,Andrew Russell,22,Male,Single,Student
39692,Mrs. Gabrielle Rodriguez,25,Female,Married,Employee
93703,Brent Hampton,24,Female,Married,Self Employeed
73692,Lauren Santiago,29,Male,Single,Self Employeed
98071,Bridget Heath,25,Female,Prefer not to say,Employee
576,Daniel Bryant,25,Male,Single,Employee
84611,Kristina Ramos DDS,22,Female,Single,Student
61770,Dan Rivera,21,Male,Single,Student
32261,Brandon Reeves,22,Female,Single,Student
82200,Steven Gonzalez,25,Female,Single,Student
36291,Julia Gibson,29,Male,Married,Employee
78450,Gina Wood,23,Male,Single,Student
60056,Anthony Davidson,27,Female,Married,Employee
